"Step","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (OpenMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (Proposed) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (FixMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (MTC) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (IOMatch) - Selected ratio of i.d over conf 0.95__MAX","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MIN","Grouped runs (SafeStudent) - Selected ratio of i.d over conf 0.95__MAX"
"50","0.9654913783073426","0.9607402086257935","0.9693673253059387","0.8058889657258987","0.7766941785812378","0.8345836400985718","0.9376343965530396","0.9072268009185791","0.9523630738258362","0.17991998046636581","0.1339084804058075","0.2744435966014862","0.9553138136863708","0.9414853453636169","0.9618654847145081","0.7910227537155151","0.7349337339401245","0.8310827612876892"
"51","0.9647161841392518","0.9618654847145081","0.9672418236732483","0.8308327049016953","0.7996999025344849","0.8532133102416992","0.940385103225708","0.9114778637886047","0.9553638696670532","0.22158664464950562","0.13678419589996338","0.3494623601436615","0.9568142056465149","0.9396098852157593","0.9681170582771301","0.7837459444999695","0.7445611357688904","0.8277069330215454"
"52","0.9674168348312377","0.96436607837677","0.9693673253059387","0.806295320391655","0.7948237061500549","0.831207811832428","0.9426606655120849","0.9158539772033691","0.9589897394180298","0.12543760985136032","0.06764191389083862","0.16854213178157806","0.9547386884689331","0.9371092915534973","0.9618654847145081","0.7861215353012085","0.7700675129890442","0.8100775480270386"
"53","0.9663415908813476","0.961990475654602","0.9706176519393921","0.82411228120327","0.8089522123336792","0.83745938539505","0.9497624397277832","0.9441110491752625","0.9592397809028625","0.19067266210913658","0.15591397881507874","0.2595648765563965","0.9557639241218567","0.9276068806648254","0.9648662209510803","0.7832458138465881","0.7596899271011353","0.8280820250511169"
"54","0.9662665605545044","0.9633658528327942","0.9706176519393921","0.8194548636674881","0.7635658979415894","0.8507126569747925","0.9572643280029297","0.9483621120452881","0.9633658528327942","0.14800575003027916","0.10240060091018677","0.2655663788318634","0.9656914353370667","0.9564891457557678","0.9741185307502747","0.7974243521690368","0.7440609931945801","0.8302075266838074"
"55","0.9686671733856201","0.9623655676841736","0.975368857383728","0.8242060542106628","0.7716929316520691","0.8493373394012451","0.9381595253944397","0.8970992565155029","0.9549887180328369","0.17920105159282684","0.15266317129135132","0.20817704498767853","0.9607151746749878","0.9487372040748596","0.9762440323829651","0.7805951476097107","0.7603150606155396","0.8053263425827026"
"56","0.9664916157722473","0.9628657102584839","0.9704926013946533","0.8380532562732697","0.803575873374939","0.8575894236564636","0.9444611191749572","0.9232308268547058","0.9607402086257935","0.21214678697288036","0.11577894538640976","0.2828207015991211","0.957239305973053","0.9222305417060852","0.97786945104599","0.8141785383224487","0.7689422369003296","0.84233558177948"
"57","0.9669167399406433","0.9622405767440796","0.9696174263954163","0.8163603395223618","0.7895724177360535","0.8424606323242188","0.9522880673408508","0.9474868774414062","0.9624906182289124","0.14731808006763458","0.05926481634378433","0.22730682790279388","0.9672918200492859","0.9576144218444824","0.9782445430755615","0.8122530579566956","0.7793198227882385","0.8384596109390259"
"58","0.967816948890686","0.9646161794662476","0.9708676934242249","0.8527131825685501","0.8357089161872864","0.8683421015739441","0.9599149703979493","0.9454863667488098","0.9694923758506775","0.16972993314266205","0.08427106589078903","0.2688172161579132","0.9565141201019287","0.9388597011566162","0.9728682041168213","0.8092272996902465","0.7478119730949402","0.8438359498977661"
"59","0.9662665605545044","0.9639909863471985","0.9694923758506775","0.845805212855339","0.8150787949562073","0.8762190341949463","0.9569642424583436","0.9379844665527344","0.9738684892654419","0.15225681476294994","0.08127031475305557","0.21130283176898956","0.9699424862861633","0.9539884924888611","0.977744460105896","0.8103275775909424","0.7829457521438599","0.8580895066261292"
