"Step","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (OpenMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (Proposed) - In distribution over conf 0.95: ACC","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MIN","Grouped runs (Proposed) - In distribution over conf 0.95: ACC__MAX","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (FixMatch) - In distribution over conf 0.95: ACC__MAX","Grouped runs (MTC) - In distribution over conf 0.95: ACC","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MIN","Grouped runs (MTC) - In distribution over conf 0.95: ACC__MAX","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MIN","Grouped runs (SafeStudent) - In distribution over conf 0.95: ACC__MAX","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MIN","Grouped runs (IOMatch) - In distribution over conf 0.95: ACC__MAX"
"51","0.7881446957588196","0.7795637249946594","0.8018602132797241","0.916482675075531","0.9079861044883728","0.9238872528076172","0.7277766108512879","0.7191376686096191","0.7347992658615112","0.7215276956558228","0.644385039806366","0.7737834453582764","0.7621338486671447","0.7479674816131592","0.7775017023086548","0.7391387343406677","0.7294671535491943","0.755433976650238"
"52","0.7913583636283874","0.7829867005348206","0.7958037853240967","0.9174475789070129","0.9120979905128479","0.9240953326225281","0.7257407546043396","0.7134560942649841","0.7409612536430359","0.7317491173744202","0.6535691022872925","0.7740384936332703","0.7702167272567749","0.7494882941246033","0.7861649394035339","0.7369368195533752","0.7241579294204712","0.7470930218696594"
"53","0.7903492450714111","0.7821347117424011","0.7952026128768921","0.9155339598655701","0.9032760858535767","0.9275673031806946","0.7228379726409913","0.7062637805938721","0.7301191091537476","0.738094174861908","0.7090150713920593","0.7662748694419861","0.7604511499404907","0.7524169683456421","0.7681415677070618","0.7367177248001099","0.7265245914459229","0.7453783750534058"
"54","0.7844022631645202","0.7675343751907349","0.7966749668121338","0.9163081288337708","0.9102150797843933","0.9220359325408936","0.7196498155593872","0.7030059695243835","0.7270776629447937","0.7367495417594909","0.6915380358695984","0.8047572374343872","0.7612625956535339","0.7353551983833313","0.7779712677001953","0.7353834867477417","0.7184707522392273","0.7462148666381836"
"55","0.7854555606842041","0.7686962485313416","0.7999002933502197","0.9156452178955078","0.9001399874687195","0.9213817715644836","0.7206745862960815","0.7075055241584778","0.7259168028831482","0.7201762199401855","0.6903055310249329","0.7412806153297424","0.7585063576698303","0.7387233972549438","0.7968787550926208","0.7352424502372742","0.7217316031455994","0.7501481175422668"
"56","0.7867175102233886","0.7789971232414246","0.7952886819839478","0.9171963930130005","0.9119935631752014","0.9270715713500977","0.7195509791374206","0.7036224007606506","0.7346005439758301","0.731287932395935","0.7023621797561646","0.7594151496887207","0.7588739156723022","0.7425639033317566","0.7863168120384216","0.7290628910064697","0.7152737975120544","0.7424820065498352"
"57","0.7882485389709473","0.7780401110649109","0.7996307611465454","0.915281069278717","0.9000238180160522","0.9268292188644409","0.7165379524230957","0.7029852867126465","0.7258108258247375","0.7436340093612671","0.6441622376441956","0.7960396409034729","0.7522160887718201","0.7349496483802795","0.7603911757469177","0.7331001400947571","0.7211734056472778","0.7472353577613831"
"58","0.7896207094192504","0.7813396453857422","0.7999003529548645","0.9201820969581604","0.9148051738739014","0.9241481423377991","0.7179135799407959","0.7026355266571045","0.7265346646308899","0.7356154561042786","0.6903618574142456","0.7711121439933777","0.7585767984390259","0.7297636866569519","0.7759873270988464","0.7267834782600403","0.7112045288085938","0.7384808659553528"
"59","0.7832073450088501","0.7653161883354187","0.7949983477592468","0.9133051872253418","0.9029525518417358","0.9224969744682312","0.7174578428268432","0.6978222727775574","0.7278384566307068","0.7179709672927856","0.6324909925460815","0.7637917995452881","0.7653084516525268","0.7585166096687317","0.7814773917198181","0.7280179738998414","0.7093657851219177","0.7450728416442871"
"60","0.7859732747077942","0.7735597491264343","0.7941900491714478","0.914010512828827","0.9071762561798096","0.921704113483429","0.7154597520828248","0.6996988654136658","0.7257927060127258","0.7082591772079467","0.6658122539520264","0.7607417702674866","0.758249843120575","0.7407329082489014","0.7926634550094604","0.7271034717559814","0.7109540700912476","0.7367498874664307"
